Date,Stock Price,Interest Rate (%),Inflation Rate (%),GDP Growth Rate (%),Market Index
2013-01-28,51428.22,8.0,5.17,5.64,38316.33
2013-01-29,44485.89,7.01,2.09,6.55,39472.25
2013-01-30,39788.58,6.93,5.61,6.7,39935.14
2013-01-31,18914.4,5.55,6.18,9.22,23172.41
2013-02-01,33380.39,4.5,4.0,5.66,38184.05
2013-02-02,31770.98,3.76,4.24,9.36,19001.89
2013-02-03,26688.92,4.42,6.26,6.09,36368.03
2013-02-04,47553.91,4.88,5.88,8.22,43296.69
2013-02-05,37314.41,6.78,3.44,9.51,12453.55
2013-02-06,18647.08,5.7,3.62,9.35,26532.01
2013-02-07,24908.24,3.39,5.39,3.4,33376.44
2013-02-08,45746.64,3.09,4.82,4.44,35158.6
2013-02-09,18425.89,3.51,2.81,6.34,17810.9
2013-02-10,53304.31,5.05,3.55,6.02,44082.05
2013-02-11,37281.59,7.67,6.5,7.49,32303.76
2013-02-12,36626.4,6.19,5.44,9.61,17423.24
2013-02-13,41658.35,7.01,6.93,3.79,12677.24
2013-02-14,52110.64,5.33,5.84,6.16,37847.72
2013-02-15,30651.41,4.81,6.71,4.35,14630.26
2013-02-16,45510.73,3.54,3.08,9.26,16654.68
2013-02-17,40457.94,7.38,5.86,9.75,30969.39
2013-02-18,27016.27,6.92,2.1,6.35,31915.68
2013-02-19,54538.35,3.84,5.35,3.73,34667.27
2013-02-20,50884.17,5.56,4.35,8.5,24985.96
2013-02-21,44630.33,5.44,3.73,7.88,37538.66
2013-02-22,53276.18,6.13,6.31,5.48,44153.83
2013-02-23,54028.24,7.73,6.27,9.21,20946.13
2013-02-24,46876.33,5.9,2.11,9.83,35199.94
2013-02-25,52665.6,5.7,5.05,6.9,42639.47
2013-02-26,46386.22,3.25,3.84,6.96,34647.46
2013-02-27,45606.33,3.31,4.08,5.08,34476.61
2013-02-28,42837.51,3.94,6.16,7.09,19384.49
2013-03-01,48872.25,3.16,3.55,6.08,29659.3
2013-03-02,22137.23,6.72,6.72,5.12,30563.25
2013-03-03,54639.18,6.62,2.9,3.47,35104.28
2013-03-04,54232.96,3.68,5.31,4.77,44895.11
2013-03-05,16316.13,7.18,5.36,4.38,13110.25
2013-03-06,52161.75,3.77,3.26,6.79,14152.68
2013-03-07,20799.14,4.51,3.62,7.21,14572.35
2013-03-08,30080.35,4.24,6.17,7.26,36518.31
2013-03-09,48457.87,4.86,5.81,5.72,16499.68
2013-03-10,22234.2,4.27,3.65,5.95,32540.91
2013-03-11,51808.52,5.44,4.67,8.84,22714.07
2013-03-12,52446.04,5.04,2.31,6.33,27091.56
2013-03-13,37836.05,7.93,3.04,9.91,19116.88
2013-03-14,15287.36,3.28,4.43,6.08,40581.52
2013-03-15,27916.72,3.71,2.43,7.55,31342.96
2013-03-16,42761.71,3.26,6.22,3.35,43170.59
2013-03-17,59153.38,6.13,5.59,7.57,30961.68
2013-03-18,43431.61,3.27,6.72,8.96,16088.97
2013-03-19,26691.16,7.18,5.47,9.6,17638.72
2013-03-20,43530.26,5.56,6.7,9.98,44639.44
2013-03-21,39299.34,5.64,4.77,4.98,35943.65
2013-03-22,50093.04,5.81,5.0,7.03,13626.2
2013-03-23,19814.13,3.85,6.88,6.16,35224.77
2013-03-24,49246.26,3.99,5.21,6.95,25601.71
2013-03-25,39357.0,4.59,2.15,4.1,22137.88
2013-03-26,58334.64,5.97,5.62,8.99,17084.01
2013-03-27,30384.25,4.05,6.53,9.37,39716.83
2013-03-28,43467.99,3.58,5.98,6.15,14106.77
2013-03-29,56941.26,7.85,4.92,4.96,21564.57
2013-03-30,19612.94,3.11,5.36,3.99,22110.64
2013-03-31,57175.28,7.01,6.95,7.79,17309.87
2013-04-01,45954.86,6.94,2.45,5.19,28770.1
2013-04-02,18052.67,4.49,5.34,9.37,12386.19
2013-04-03,28543.36,3.68,3.42,7.7,21932.19
2013-04-04,46867.74,3.73,5.2,7.52,42809.77
2013-04-05,18030.78,6.49,5.04,6.92,22247.48
2013-04-06,41197.67,6.21,2.77,3.32,23895.16
2013-04-07,30564.74,6.91,3.03,9.52,27614.45
2013-04-08,42941.2,7.69,5.11,7.4,30535.88
2013-04-09,17058.39,6.46,2.64,9.96,38687.39
2013-04-10,54219.16,3.78,3.33,6.76,18280.6
2013-04-11,58807.0,4.22,6.18,7.97,40767.63
2013-04-12,58599.5,7.21,3.64,3.39,36999.13
2013-04-13,48734.33,4.05,4.44,7.42,35847.46
2013-04-14,20853.88,3.36,6.71,8.35,14864.55
2013-04-15,49121.84,6.52,3.14,8.45,12714.14
2013-04-16,16106.41,5.01,3.95,8.39,31602.42
2013-04-17,15995.56,7.6,5.03,4.58,40483.42
2013-04-18,29562.46,6.25,5.78,9.83,31286.57
2013-04-19,36988.94,3.45,6.51,9.97,19036.75
2013-04-20,49668.33,7.74,6.58,3.53,14987.16
2013-04-21,45748.29,4.29,5.88,9.56,35086.68
2013-04-22,35065.62,4.69,3.14,5.03,35818.42
2013-04-23,27313.2,5.01,2.12,7.82,17693.55
2013-04-24,59870.6,3.26,3.92,5.37,12930.28
2013-04-25,34178.16,5.48,2.71,9.77,25473.36
2013-04-26,35312.42,3.62,5.55,3.71,31229.72
2013-04-27,22363.07,5.0,5.31,6.48,35298.08
2013-04-28,50766.43,4.75,2.22,6.0,38728.19
2013-04-29,46215.7,6.86,6.18,5.28,32147.74
2013-04-30,24934.63,7.02,3.24,7.52,15659.06
2013-05-01,18707.15,3.77,4.16,3.92,34525.2
2013-05-02,45622.47,4.83,5.34,8.02,44477.83
2013-05-03,44453.0,4.87,4.15,9.86,41884.29
2013-05-04,27296.68,3.76,4.21,8.63,40765.07
2013-05-05,57788.86,6.99,2.33,9.02,21971.62
2013-05-06,21797.61,6.54,4.01,5.52,36776.01
2013-05-07,34455.07,3.95,5.82,5.27,40086.41
2013-05-08,57462.72,4.83,6.58,6.62,34384.76
2013-05-09,33887.73,3.53,4.07,3.32,20268.54
2013-05-10,43733.67,6.14,4.12,9.62,43476.52
2013-05-11,32891.75,3.61,5.51,4.01,26877.04
2013-05-12,27339.68,7.93,6.71,9.32,16283.58
2013-05-13,59278.99,6.9,3.34,3.59,15622.67
2013-05-14,33420.03,4.95,4.2,8.76,33368.13
2013-05-15,55234.46,5.89,5.98,4.06,26444.42
2013-05-16,25347.96,7.56,5.05,3.27,15117.97
2013-05-17,24589.71,5.77,2.55,8.04,36432.03
2013-05-18,16401.03,3.87,5.14,4.96,38377.73
2013-05-19,44325.01,4.89,2.93,8.0,35938.72
2013-05-20,31583.69,7.22,4.55,6.89,18674.61
2013-05-21,53896.12,6.22,4.65,3.76,34762.59
2013-05-22,36294.45,6.25,6.38,9.52,12353.85
2013-05-23,58568.7,7.33,4.31,6.17,22068.7
2013-05-24,23348.65,7.47,3.4,8.14,25161.11
2013-05-25,54088.04,7.6,3.15,6.51,39563.15
2013-05-26,49946.86,3.47,6.37,7.23,24883.01
2013-05-27,49691.48,5.72,2.86,5.12,12371.89
2013-05-28,53015.25,6.7,4.13,4.4,23627.43
2013-05-29,49246.08,6.78,2.94,6.8,28464.5
2013-05-30,43179.91,6.03,5.87,6.08,43317.16
2013-05-31,20906.02,3.83,4.37,5.73,43054.13
2013-06-01,16463.68,6.99,3.76,7.71,17968.84
2013-06-02,56438.15,6.6,3.81,7.83,18109.84
2013-06-03,42749.26,3.43,6.26,3.32,17391.59
2013-06-04,50844.18,5.32,4.77,5.37,38034.42
2013-06-05,36668.51,3.87,5.59,5.88,12198.73
2013-06-06,20278.87,4.69,6.49,3.68,16196.85
2013-06-07,20633.36,3.09,6.51,4.65,29752.67
2013-06-08,45850.44,5.0,3.64,3.36,20169.55
2013-06-09,34363.77,5.75,6.76,9.97,15047.76
2013-06-10,24023.61,6.1,2.12,8.16,23875.97
2013-06-11,37121.75,6.32,3.88,3.61,21048.85
2013-06-12,17889.4,7.18,6.48,3.14,28866.44
2013-06-13,41188.71,4.08,3.37,8.04,44314.71
2013-06-14,27104.7,3.6,3.37,6.07,16102.05
2013-06-15,50890.16,7.26,3.51,8.51,24299.98
2013-06-16,28966.29,3.78,5.06,9.46,42755.51
2013-06-17,35484.91,7.87,4.19,7.2,40936.81
2013-06-18,15522.92,7.21,5.63,4.31,25010.94
2013-06-19,18260.11,5.5,6.47,8.48,35065.46
2013-06-20,32662.21,7.91,5.37,9.69,14899.28
2013-06-21,36597.25,3.49,3.02,7.06,35513.85
2013-06-22,42000.92,4.52,6.66,7.77,44104.31
2013-06-23,28124.82,6.19,3.32,5.36,29737.11
2013-06-24,46274.18,4.75,2.75,5.67,28450.18
2013-06-25,53705.51,7.64,2.45,8.14,18181.51
2013-06-26,50093.29,3.33,4.82,9.49,32915.01
2013-06-27,16782.85,5.75,2.57,7.4,31484.43
2013-06-28,36622.81,5.95,2.69,8.53,33513.79
2013-06-29,19721.86,6.26,3.5,4.2,12860.75
2013-06-30,25892.03,4.28,3.41,4.48,30107.88
2013-07-01,59399.82,4.82,5.02,6.72,31632.85
2013-07-02,21412.3,7.22,6.08,4.24,18848.49
2013-07-03,37449.97,3.97,5.81,7.44,18874.98
2013-07-04,42817.01,7.13,3.31,5.04,21115.2
2013-07-05,46610.92,5.81,3.23,8.54,35486.81
2013-07-06,40184.19,6.81,6.83,8.66,32006.78
2013-07-07,15439.69,6.57,2.04,6.25,39910.17
2013-07-08,29690.76,4.04,6.4,4.27,21756.73
2013-07-09,38297.02,5.84,3.0,7.53,42098.25
2013-07-10,18953.99,7.34,6.74,9.95,36542.3
2013-07-11,30778.21,5.16,3.71,7.36,25035.39
2013-07-12,16494.14,7.83,4.2,3.25,15143.65
2013-07-13,18536.03,5.26,5.54,3.12,20480.46
2013-07-14,32861.55,3.71,4.94,5.24,43573.35
2013-07-15,20972.21,4.95,3.59,4.37,22241.99
2013-07-16,40539.34,7.76,4.77,8.69,22886.73
2013-07-17,46025.92,4.6,5.65,8.91,18256.43
2013-07-18,51026.4,7.34,2.21,4.81,38626.07
2013-07-19,24006.76,7.41,2.06,5.28,21096.26
2013-07-20,22536.72,4.75,4.29,4.65,22898.52
2013-07-21,19705.55,3.42,2.66,9.36,25673.49
2013-07-22,43639.36,6.62,5.32,6.52,26313.03
2013-07-23,46791.41,4.56,3.07,7.59,25574.25
2013-07-24,16421.38,6.91,4.16,5.91,28623.54
2013-07-25,57129.55,5.21,2.99,7.42,38878.93
2013-07-26,17338.71,5.43,4.74,5.7,39036.41
2013-07-27,39358.34,6.89,2.58,5.38,38344.33
2013-07-28,46907.72,4.91,2.12,7.44,15337.12
2013-07-29,54193.61,5.22,2.26,7.14,38389.4
2013-07-30,47133.91,4.88,6.77,5.05,15968.31
2013-07-31,51077.76,4.84,2.71,4.05,16115.88
2013-08-01,30275.26,5.63,5.54,5.58,43279.47
2013-08-02,51667.13,7.04,2.34,5.91,39040.13
2013-08-03,18605.17,4.81,2.54,7.4,30229.55
2013-08-04,55266.75,5.62,4.54,9.4,40874.02
2013-08-05,39641.66,6.35,4.32,3.25,44649.03
2013-08-06,51778.4,4.35,6.76,4.71,32151.19
2013-08-07,35354.32,4.39,6.72,4.36,32225.65
2013-08-08,43961.0,7.67,5.9,6.52,36896.09
2013-08-09,38688.12,6.62,5.01,6.01,19660.59
2013-08-10,47921.53,5.89,4.27,8.1,17515.12
2013-08-11,18673.35,6.24,3.78,4.7,37066.16
2013-08-12,17715.84,3.15,6.74,7.16,23381.86
2013-08-13,26119.65,6.09,5.01,9.19,16457.32
2013-08-14,22179.51,5.55,4.9,9.37,22390.96
2013-08-15,54230.26,5.73,3.16,9.71,23835.02
2013-08-16,24864.63,4.8,2.23,8.41,43852.51
2013-08-17,58913.94,3.41,6.73,9.34,35032.67
2013-08-18,30160.31,3.97,3.57,4.64,29518.26
2013-08-19,23195.31,7.75,4.21,4.38,43972.81
2013-08-20,50536.43,5.04,2.57,3.05,41803.61
2013-08-21,44641.85,5.33,6.18,7.95,28896.03
2013-08-22,37418.81,3.26,2.14,9.56,41887.43
2013-08-23,39991.36,3.19,6.17,4.31,25342.05
2013-08-24,47364.08,6.59,2.7,7.46,19603.88
2013-08-25,25280.46,5.69,6.43,8.23,19678.38
2013-08-26,59835.03,5.54,5.65,9.49,33856.41
2013-08-27,58865.69,4.22,2.82,7.53,28535.32
2013-08-28,44264.66,6.72,4.83,9.79,33745.38
2013-08-29,23979.41,3.84,3.56,5.41,34640.51
2013-08-30,45610.27,3.95,2.89,5.45,12736.65
2013-08-31,18248.93,5.3,6.3,6.8,13783.31
2013-09-01,16379.36,4.43,4.02,5.68,29578.36
2013-09-02,26595.73,4.24,3.99,3.01,18304.17
2013-09-03,35818.03,6.23,2.85,8.12,32873.61
2013-09-04,54072.26,6.25,3.92,8.26,30222.13
2013-09-05,47722.61,7.12,6.36,8.23,31330.09
2013-09-06,48421.79,5.09,3.82,5.42,21981.03
2013-09-07,34147.2,3.37,6.76,6.66,33114.84
2013-09-08,30567.07,4.37,6.73,5.52,39373.26
2013-09-09,31696.74,7.9,2.72,3.11,44936.35
2013-09-10,59444.23,5.98,2.89,6.94,39668.66
2013-09-11,16804.91,6.55,6.31,3.87,30397.46
2013-09-12,54016.42,3.04,3.96,3.56,18383.18
2013-09-13,41040.39,5.59,2.02,8.29,34487.71
2013-09-14,34737.69,3.19,3.37,3.07,42942.57
2013-09-15,47636.59,5.85,4.99,9.71,18991.6
2013-09-16,36900.1,7.6,6.0,6.61,20447.86
2013-09-17,54304.05,7.84,2.67,9.88,16917.28
2013-09-18,55531.58,5.7,2.55,3.41,36311.81
2013-09-19,33977.44,5.29,6.61,7.08,25416.53
2013-09-20,27457.25,7.73,5.76,5.45,14068.96
2013-09-21,41655.76,6.37,4.95,8.9,40873.35
2013-09-22,56056.35,3.32,5.85,5.53,30403.17
2013-09-23,24479.8,5.33,4.14,4.82,22926.11
2013-09-24,43033.5,4.2,5.79,9.0,23351.44
2013-09-25,43420.21,5.35,3.86,5.62,21578.29
2013-09-26,47990.09,5.28,3.22,3.12,27030.85
2013-09-27,20920.55,5.91,5.65,5.73,23122.38
2013-09-28,47212.12,4.78,4.1,7.58,30082.23
2013-09-29,55906.46,3.82,6.91,4.78,37526.07
2013-09-30,23085.74,5.52,3.75,6.02,34257.22
2013-10-01,25689.45,7.15,6.61,3.4,21717.08
2013-10-02,58712.78,6.32,6.66,7.12,29448.45
2013-10-03,23143.96,4.69,3.21,8.29,39724.16
2013-10-04,53447.33,7.68,5.99,5.89,14250.81
2013-10-05,37152.5,7.56,4.17,5.94,14583.81
2013-10-06,26125.4,4.05,6.59,3.62,30353.61
2013-10-07,54183.75,3.2,4.25,4.41,33090.8
2013-10-08,35038.74,6.71,5.72,4.08,18976.63
2013-10-09,38166.78,7.14,4.33,6.37,36592.26
2013-10-10,31165.5,7.84,3.14,6.7,33326.69
2013-10-11,41682.79,7.45,3.0,9.64,42468.55
2013-10-12,22358.57,6.0,4.13,3.51,17575.49
2013-10-13,32598.67,5.65,5.78,7.2,36795.35
2013-10-14,58623.55,3.14,5.03,6.69,14760.22
2013-10-15,26616.0,4.23,5.44,6.61,30654.65
2013-10-16,44553.15,5.3,3.41,9.11,30212.54
2013-10-17,29633.55,6.14,4.41,4.44,24816.71
2013-10-18,49806.29,5.79,2.22,3.29,39870.85
2013-10-19,20889.31,6.71,6.09,7.71,12144.23
2013-10-20,58641.95,4.4,6.95,5.42,29165.92
2013-10-21,35420.53,5.82,4.03,3.12,19166.07
2013-10-22,25622.27,3.44,2.05,4.76,36535.45
2013-10-23,18307.35,5.07,2.85,5.17,13421.23
2013-10-24,22639.11,6.75,5.26,7.32,39441.3
2013-10-25,38389.83,6.47,5.06,4.21,39657.04
2013-10-26,30165.14,7.95,5.94,5.89,39484.58
2013-10-27,52299.75,4.39,3.27,6.38,17034.76
2013-10-28,34389.94,5.49,5.82,6.21,32803.42
2013-10-29,26192.14,4.65,5.44,9.82,12474.12
2013-10-30,42771.52,5.2,3.61,3.32,39982.77
2013-10-31,46804.97,7.28,4.73,9.66,35858.18
2013-11-01,22516.89,6.42,2.74,7.07,29528.07
2013-11-02,22542.86,7.41,4.26,8.57,36109.52
2013-11-03,16650.21,4.02,6.41,6.01,15112.7
2013-11-04,48138.09,7.37,4.11,6.18,29445.64
2013-11-05,44871.2,3.3,6.2,9.16,21612.12
2013-11-06,36358.39,7.44,4.95,9.27,44096.44
2013-11-07,52987.67,4.65,2.96,4.67,40284.89
2013-11-08,51255.16,4.57,4.91,4.39,36198.1
2013-11-09,41340.95,5.56,4.53,6.47,42813.67
2013-11-10,54072.21,7.7,3.99,9.3,23445.83
2013-11-11,24262.85,3.24,2.6,5.26,41729.04
2013-11-12,20036.38,4.76,4.08,7.56,22732.86
2013-11-13,27138.73,7.28,2.36,7.96,36182.29
2013-11-14,17568.91,4.98,2.49,8.45,36301.76
2013-11-15,38902.63,4.0,4.08,6.95,12605.55
2013-11-16,57147.26,5.12,3.53,5.82,23914.97
2013-11-17,16770.46,4.93,6.63,9.77,12641.28
2013-11-18,20494.95,7.58,3.88,7.28,44904.04
2013-11-19,35348.96,6.81,5.79,8.1,16032.49
2013-11-20,57024.38,5.53,4.65,5.41,29912.76
2013-11-21,29227.02,7.94,5.52,7.69,38088.36
2013-11-22,37825.57,5.33,3.3,4.8,18641.7
2013-11-23,16870.78,3.29,6.71,4.72,28006.74
2013-11-24,21675.44,4.31,4.65,8.0,32045.15
2013-11-25,59398.36,5.18,6.16,6.65,17286.76
2013-11-26,58430.34,3.78,3.83,7.78,37692.33
2013-11-27,15222.3,7.74,2.5,4.89,21878.1
2013-11-28,57831.53,6.83,5.37,7.19,18963.76
2013-11-29,43760.4,4.34,2.04,6.11,30423.53
2013-11-30,54056.32,5.95,4.38,7.18,25540.35
2013-12-01,35463.29,6.61,2.96,5.04,42369.44
2013-12-02,38201.82,7.71,5.14,8.01,41042.07
2013-12-03,36998.1,7.41,6.9,8.64,27950.57
2013-12-04,45008.89,5.58,4.32,4.82,23855.7
2013-12-05,21284.31,6.87,6.09,5.1,22742.09
2013-12-06,16348.81,5.81,4.54,7.63,20829.6
2013-12-07,28856.85,5.76,4.48,7.87,29970.08
2013-12-08,46710.63,3.57,6.65,7.93,38564.29
2013-12-09,24083.41,3.63,6.45,7.78,22254.97
2013-12-10,45304.46,5.65,5.93,5.75,18273.1
2013-12-11,58646.04,4.34,3.48,5.76,27690.97
2013-12-12,19225.53,3.11,4.73,4.78,14278.14
2013-12-13,45267.1,6.61,3.12,4.1,35142.21
2013-12-14,34968.76,3.16,4.22,7.85,29105.82
2013-12-15,54066.4,5.98,4.42,3.65,28380.37
2013-12-16,22971.74,5.7,6.16,9.56,21914.7
2013-12-17,46168.17,7.84,6.48,8.79,41854.22
2013-12-18,52715.19,5.42,4.07,9.0,14986.05
2013-12-19,57507.64,3.32,2.09,9.35,40704.19
2013-12-20,45746.16,5.76,6.31,5.86,24431.27
2013-12-21,37372.86,7.21,2.87,8.93,41060.58
2013-12-22,42803.13,7.98,5.11,4.11,36049.13
2013-12-23,54100.72,5.15,2.12,3.15,15437.63
2013-12-24,40677.44,4.6,4.0,8.49,39440.7
2013-12-25,16367.42,7.53,6.93,3.52,34511.84
2013-12-26,56892.69,3.96,2.5,9.92,13065.96
2013-12-27,46028.7,6.08,4.12,7.72,16412.19
2013-12-28,45443.1,5.03,3.54,8.27,32975.73
2013-12-29,24705.38,3.21,6.53,4.72,33865.82
2013-12-30,44649.85,4.74,6.35,7.72,36639.5
2013-12-31,32723.9,4.33,3.19,3.3,35768.1
2014-01-01,44305.48,6.43,2.41,8.86,33764.16
2014-01-02,19796.69,7.74,5.14,4.19,37285.88
2014-01-03,44603.04,4.34,3.68,7.88,30977.83
2014-01-04,59973.62,7.06,5.36,4.57,20606.12
2014-01-05,17169.54,3.28,2.16,3.48,42108.43
2014-01-06,58972.84,5.69,2.67,6.37,12601.06
2014-01-07,33310.86,3.35,5.43,4.19,24096.54
2014-01-08,54183.91,7.67,3.06,8.11,36052.72
2014-01-09,50207.35,6.83,6.29,4.66,26096.15
2014-01-10,40515.73,6.29,2.29,5.4,12819.54
2014-01-11,48230.21,7.12,3.08,6.97,14177.37
2014-01-12,54533.2,6.24,6.99,4.99,33405.03
2014-01-13,33186.31,7.84,4.17,5.65,43840.53
2014-01-14,29716.49,6.57,5.51,8.71,30211.5
2014-01-15,45041.7,7.62,2.91,4.25,28723.01
2014-01-16,51353.07,5.59,5.05,3.58,22504.73
2014-01-17,49302.83,3.59,5.63,5.3,20470.79
2014-01-18,50901.61,5.64,3.57,5.97,12692.5
2014-01-19,34601.25,3.63,6.14,6.8,21007.51
2014-01-20,51802.54,5.96,5.02,5.61,26820.64
2014-01-21,20409.41,5.41,3.95,8.53,18532.34
2014-01-22,39502.01,6.11,4.79,3.28,14882.48
2014-01-23,15259.14,3.05,4.88,6.02,35685.02
2014-01-24,29606.36,3.97,2.83,5.68,41522.47
2014-01-25,31490.77,5.46,4.01,7.53,42913.48
2014-01-26,32827.77,7.75,3.72,9.76,32393.96
2014-01-27,46296.02,4.92,4.0,6.57,13741.56
2014-01-28,32485.11,5.12,5.81,9.91,36448.47
2014-01-29,35191.21,6.57,4.41,5.12,15633.15
2014-01-30,25689.49,6.02,6.7,3.22,34101.69
2014-01-31,31796.33,4.49,3.47,4.16,37719.07
2014-02-01,25227.13,5.05,4.08,5.77,35953.54
2014-02-02,18293.82,4.09,5.93,5.21,43412.17
2014-02-03,42155.19,7.83,4.73,3.68,36358.83
2014-02-04,45069.58,3.65,4.74,6.03,34875.92
2014-02-05,42877.07,4.86,2.27,5.37,20637.52
2014-02-06,35857.23,3.13,3.99,3.86,42517.37
2014-02-07,32090.36,4.11,3.35,5.07,17924.95
2014-02-08,53850.01,6.9,7.0,9.21,41861.59
2014-02-09,38358.68,4.01,3.54,5.11,22317.86
2014-02-10,36563.18,3.4,6.42,8.0,16295.4
2014-02-11,16153.89,5.37,5.38,7.28,39280.54
2014-02-12,30356.15,3.05,3.7,5.99,12082.35
2014-02-13,32108.8,3.42,4.72,4.67,39458.91
2014-02-14,32947.03,7.04,6.2,5.58,20656.29
2014-02-15,41107.76,6.86,6.42,7.14,41195.8
2014-02-16,39012.11,7.58,2.8,5.46,34818.81
2014-02-17,42355.73,7.27,3.7,4.5,33984.05
2014-02-18,49419.75,6.42,3.68,3.82,24055.55
2014-02-19,51584.36,3.26,2.21,9.16,13960.3
2014-02-20,47315.54,6.91,4.99,6.08,39392.41
2014-02-21,57998.57,7.23,6.27,7.38,17639.83
2014-02-22,15820.47,7.0,3.91,6.43,24284.54
2014-02-23,23810.01,5.54,5.7,9.11,31811.7
2014-02-24,15340.33,4.16,5.14,6.83,27914.37
2014-02-25,44136.36,7.23,3.88,6.37,18555.8
2014-02-26,55411.37,6.64,2.71,9.47,16640.34
2014-02-27,25956.7,7.9,5.55,8.04,16067.13
2014-02-28,56716.55,3.78,6.27,3.78,40479.26
2014-03-01,17712.03,4.13,5.43,4.24,13041.47
2014-03-02,57049.62,4.06,2.09,8.51,44241.47
2014-03-03,30823.02,6.96,3.08,8.85,18551.45
2014-03-04,19563.94,3.93,2.35,6.82,15640.64
2014-03-05,36864.23,3.33,4.85,6.88,31040.06
2014-03-06,26554.95,7.99,5.78,7.42,14639.54
2014-03-07,27819.28,3.12,2.55,6.07,31880.96
2014-03-08,28828.05,7.18,6.19,7.76,40070.68
2014-03-09,51136.17,4.83,4.78,3.76,13580.63
2014-03-10,39262.26,7.21,5.45,9.73,38395.66
2014-03-11,29008.85,5.77,6.86,8.25,25017.76
2014-03-12,42465.02,7.51,2.42,7.42,17263.19
2014-03-13,47226.78,7.63,6.51,5.21,17811.18
2014-03-14,27268.08,3.05,2.63,4.13,42319.23
2014-03-15,33609.71,3.38,3.96,5.87,15649.99
2014-03-16,20484.87,4.25,6.26,7.63,40603.83
2014-03-17,23151.72,6.35,6.53,7.44,29960.07
2014-03-18,45650.3,7.44,4.53,5.68,13288.85
2014-03-19,23164.73,5.3,4.97,7.29,27327.71
2014-03-20,38632.35,6.03,5.54,8.7,38975.83
2014-03-21,46907.08,3.94,6.16,3.18,35964.69
2014-03-22,19809.46,7.02,2.61,6.15,28129.82
2014-03-23,40529.05,7.84,6.05,8.31,40381.65
2014-03-24,26545.33,4.34,4.41,6.82,15972.04
2014-03-25,58331.71,5.47,4.25,7.56,42028.05
2014-03-26,36759.55,3.43,4.12,6.62,39932.56
2014-03-27,51269.66,5.8,4.55,9.94,35373.14
2014-03-28,39760.19,5.51,6.73,3.38,38990.3
2014-03-29,16953.56,3.72,4.74,6.44,29945.91
2014-03-30,43491.81,5.21,6.77,3.64,34280.36
2014-03-31,57813.15,4.67,2.9,4.12,30499.74
2014-04-01,42072.53,5.61,5.62,5.68,23729.14
2014-04-02,51863.5,5.93,6.06,4.09,30772.41
2014-04-03,54789.29,3.04,5.4,9.75,20496.36
2014-04-04,25263.59,6.81,5.03,9.63,26529.21
2014-04-05,24542.02,6.57,4.82,5.35,21265.59
2014-04-06,42494.14,4.83,6.3,7.48,16055.3
2014-04-07,33496.28,3.26,6.11,6.74,22621.44
2014-04-08,52793.76,6.77,2.61,8.71,40115.58
2014-04-09,55501.04,7.78,6.24,7.39,24575.67
2014-04-10,30903.96,4.2,4.07,3.0,36684.12
2014-04-11,25659.18,4.62,3.27,8.34,17781.53
2014-04-12,50123.65,3.92,6.35,8.23,26005.83
2014-04-13,27366.27,5.88,4.16,6.57,15790.25
2014-04-14,52017.64,3.77,6.04,9.32,16574.5
2014-04-15,34068.22,4.78,3.32,9.36,32375.4
2014-04-16,45039.75,6.49,2.02,6.67,32046.9
2014-04-17,19299.09,5.8,4.48,7.26,19041.27
2014-04-18,43073.67,4.93,2.5,9.98,27655.97
2014-04-19,35329.55,5.1,5.77,5.09,40489.1
2014-04-20,41397.38,5.81,3.38,5.27,17748.65
2014-04-21,22560.64,3.03,4.22,4.28,12633.95
2014-04-22,48159.32,3.39,2.44,9.27,33515.84
2014-04-23,53825.87,7.41,3.43,8.21,13765.44
2014-04-24,24753.29,3.39,5.91,3.74,44338.03
2014-04-25,19307.15,6.53,2.76,9.87,32117.47
2014-04-26,16063.74,7.6,5.24,8.12,27523.08
2014-04-27,43888.72,4.35,6.59,8.95,26189.75
2014-04-28,42319.23,4.85,5.4,3.34,30911.33
2014-04-29,39601.38,5.84,6.06,6.53,14990.61
2014-04-30,25437.62,7.41,2.54,7.89,42690.63
2014-05-01,32590.77,7.71,3.25,6.8,32646.19
2014-05-02,41751.44,6.7,6.47,7.67,18071.29
2014-05-03,37354.51,3.43,5.58,8.73,30565.17
2014-05-04,59450.35,6.35,5.2,5.62,16397.46
2014-05-05,21139.79,5.05,5.32,8.94,12579.24
2014-05-06,46281.5,5.35,4.07,4.14,32807.06
2014-05-07,33194.34,3.25,2.22,4.9,33399.95
2014-05-08,34268.98,3.96,5.92,3.3,31261.99
2014-05-09,47291.9,6.95,5.39,5.55,18054.95
2014-05-10,46159.63,5.27,4.36,5.66,31913.19
2014-05-11,59606.52,4.51,6.5,8.64,13864.86
2014-05-12,20777.74,4.92,3.68,7.57,32104.87
2014-05-13,19684.93,7.27,3.47,6.06,30282.56
2014-05-14,47595.25,6.74,6.36,7.56,33623.41
2014-05-15,41027.41,4.36,5.98,3.37,41550.69
2014-05-16,27337.23,3.59,4.57,4.26,40061.82
2014-05-17,18573.87,4.26,2.65,7.39,44361.59
2014-05-18,18854.62,7.6,3.08,7.49,44215.95
2014-05-19,55238.59,5.91,5.28,8.42,37486.55
2014-05-20,23634.03,5.67,3.93,5.82,43561.85
2014-05-21,29551.72,5.98,6.18,8.06,40620.37
2014-05-22,25199.54,4.83,6.75,7.79,36010.22
2014-05-23,30974.83,7.04,6.03,9.74,14487.68
